,episode_name,userReviewsNum,storyLine,ratings_distribution,US_ratings,US_votenums,nonUS_ratings,nonUS_votenums,All_All_rating,All_All_totalVotesNum,All_<18_rating,All_<18_totalVotesNum,All_18-29_rating,All_18-29_totalVotesNum,All_30-44_rating,All_30-44_totalVotesNum,All_45+_rating,All_45+_totalVotesNum,Male_All_rating,Male_All_totalVotesNum,Male_<18_rating,Male_<18_totalVotesNum,Male_18-29_rating,Male_18-29_totalVotesNum,Male_30-44_rating,Male_30-44_totalVotesNum,Male_45+_rating,Male_45+_totalVotesNum,Female_All_rating,Female_All_totalVotesNum,Female_<18_rating,Female_<18_totalVotesNum,Female_18-29_rating,Female_18-29_totalVotesNum,Female_30-44_rating,Female_30-44_totalVotesNum,Female_45+_rating,Female_45+_totalVotesNum,keyWords
21,Valentine's Day,7,"When Michael visits Dunder Mifflin corporate headquarters in New York on Valentine's Day, he and Jan are both in for a surprise. Meanwhile, back in Scranton, the office staff celebrates Valentine's Day grade school style.","[930, 963, 1931, 660, 181, 43, 21, 5, 20, 83]",8.3,983,8.1,1595,8.2,4837,7.9,13,8.2,1086,8.1,1449,8,451,8.2,2775,7.8,10,8.2,929,8.2,1256,8,357,8.2,432,8,1,8.3,141,7.9,178,8.4,91,"['jealousy', 'new york city', ""valentine's day""]"
22,Dwight's Speech,8,Michael coaches pompous Dwight on the finer art of public speaking after being named as Salesman of the Year.,"[1233, 1334, 1584, 624, 182, 57, 13, 6, 24, 89]",8.4,1043,8.2,1651,8.3,5146,8.1,15,8.4,1159,8.2,1500,8.1,466,8.3,2905,8.3,11,8.4,993,8.3,1296,8.1,367,8.2,454,9,2,8.3,144,8,188,8.4,96,['speech']
23,Take Your Daughter to Work Day,8,"A routine office day is changed when children come to Dunder Mifflin for ""Take Your Daughter to Work Day."" Michael is surprised when he strikes up a friendship with the five-year old daughter of his sworn enemy, Toby. Pam is desperate to befriend her colleagues' offspring and a misunderstanding puts Ryan under Stanley's thumb.","[1028, 1067, 1816, 719, 192, 43, 12, 11, 32, 70]",8.3,1045,8.1,1597,8.2,4990,8.2,15,8.3,1108,8.1,1488,8,467,8.2,2812,8.3,12,8.3,946,8.1,1268,8,364,8.2,469,7,1,8.4,140,8,205,8.3,100,['calling parent by first name']
24,Michael's Birthday,6,"It is Michael's birthday and he begins making special demands of everybody in the office, and he is met with a chilly reception. Unbeknown to him, Kevin is waiting to hear the results of a test to determine whether or not he has skin cancer. In an effort to help, Jim and Pam sneak out of the office to buy Kevin an assortment of goodies to try and make him feel better.","[861, 792, 1895, 842, 226, 57, 18, 5, 24, 90]",8.1,1011,7.9,1553,8,4810,8.1,15,8.1,1069,7.9,1448,7.8,455,8,2730,8.1,11,8,912,7.9,1237,7.8,359,8,449,8,2,8.3,138,7.8,197,8.1,93,['staff']
25,Drug Testing,4,"When Dwight finds half a joint in the Dunder Mifflin parking lot, he puts on his Volunteer Sheriff's uniform and launches a full investigation -- prompting Michael to ask for an unusual favor. Pam playfully issues a challenge to Jim and he does his best to follow through with it.","[1078, 1118, 1741, 614, 169, 56, 16, 9, 20, 87]",8.4,1038,8.1,1582,8.3,4908,8.1,15,8.3,1097,8.2,1489,8,444,8.2,2774,8.3,11,8.3,940,8.2,1261,8,349,8.3,468,8,1,8.3,139,8.2,213,8.5,92,['cannabis']
26,Conflict Resolution,7,"When Michael takes over conflict resolution duties from HR, chaos ensues at Dunder Mifflin.","[1381, 1614, 1310, 420, 130, 34, 10, 8, 25, 91]",8.7,1043,8.4,1605,8.6,5023,8.4,15,8.6,1131,8.5,1500,8.3,448,8.6,2831,8.6,11,8.7,962,8.5,1286,8.3,348,8.6,465,8,1,8.6,147,8.5,199,8.8,97,[]
27,Casino Night,20,The Dunder Mifflin crew holds a casino party at the warehouse and Michael has two dates.,"[4115, 1815, 742, 222, 75, 30, 7, 5, 25, 203]",9.4,1522,9.1,2138,9.3,7239,9.4,21,9.3,1577,9.2,2138,8.9,593,9.2,3832,9.5,15,9.3,1300,9.2,1754,8.9,456,9.4,772,10,1,9.4,232,9.3,362,9.4,133,"['confession of love', 'casino', 'reference to hooters restaurant']"
28,Gay Witch Hunt,15,"Michael apologizes to Oscar, after he finds out he's gay, for calling him a homosexual slur--but his apology outs Oscar to the entire office. And Jim decides to take a promotion at the Stamford office.","[2750, 1995, 953, 333, 134, 44, 17, 6, 30, 205]",9,1277,8.8,1985,9,6467,9,21,9,1418,8.9,1867,8.6,557,8.9,3515,9.4,14,9,1192,8.9,1595,8.6,436,8.8,592,5,2,8.9,188,8.8,254,8.7,113,['office']
29,The Convention,3,"Michael and Dwight attend an industry convention where they are reunited with Jan, Jim and his new boss, Josh. As Michael struggles with fear that Jim transferred just to get away from him, Jim and Pam continue to work and live away from each other.","[811, 907, 1866, 756, 202, 53, 10, 5, 23, 82]",8.2,995,7.9,1549,8.1,4715,7.8,13,8.1,1068,8,1424,7.9,445,8.1,2712,8,9,8.1,916,8.1,1227,7.9,349,8,430,7.5,2,8.1,132,7.8,181,8.2,92,[]
30,The Coup,4,"An office power play ensues when ultra-serious Angela, offended by Michael's various antics and his inefficient leadership, leans heavily on Dwight to make a push for Michael's job. Meanwhile, Pam puts on a lunchtime fashion show; and Jim's attempts to play a video game turn deadly---in a virtual sense.","[1188, 1437, 1482, 517, 155, 43, 7, 4, 21, 81]",8.5,1023,8.3,1601,8.5,4935,8.3,15,8.5,1107,8.4,1485,8.1,450,8.4,2837,8.3,11,8.5,950,8.4,1289,8.1,355,8.2,430,8.5,2,8.3,136,8,180,8.3,91,['game']
31,Grief Counseling,5,"When former Dunder Mifflin regional manager and Michael's old boss Ed Truck is killed in a car accident, Michael finds it hard to deal with his death and insists that the entire staff of the Scranton branch have a grief counseling session. Meanwhile at the Stamford Branch, Jim and Karen go on a hunt for a brand of chips their vending machines were sold out of.","[854, 734, 1687, 957, 263, 78, 30, 9, 24, 88]",8,995,7.8,1552,7.9,4724,7.6,13,8,1053,7.8,1436,7.7,444,7.9,2691,7.8,9,8,897,7.8,1227,7.6,349,8,450,7,2,8.1,140,7.8,194,8.2,91,"['office', 'bird', 'dead bird', 'funeral', 'funeral for a bird']"
